num_clients,total_time
10,30.073589869
20,60.127918081
30,90.189048710
40,120.221043920
50,150.267482939
60,180.282724742
70,210.373410207
80,240.362789686
90,270.414807505
100,300.454983655
10,30.07814678
20,60.08394955
30,90.13860127
40,120.10841511
50,150.36309998
60,180.37977943
70,210.36869025
80,240.34903666
90,270.32960105
100,300.54908984
10,30.14024687
20,60.09584895
30,90.26243943
40,120.19627843
50,150.30170133
60,180.32491164
70,210.26620481
80,240.27522181
90,270.39748337
100,300.51045134